path,bytes,sha256,change,source_zip,source_member,source_sha256,source_match
.gitattributes,1270,c572244abbb8ef6525e1a8ed6893a02436a61781af18837cf0bb06dab0ac9c7b,ADDED,,,,NOT_APPLICABLE
.gitignore,2005,fba647941405d658f6d865d7584ac027581833d83c0c669e31c7b60b1dd369bd,UPDATED,,,,NOT_APPLICABLE
AI-USE-DISCLOSURE.md,1543,feef4f26a8b7882282390aeb31537a73197ed28a7546d6f91445723b6cf596d9,UNCHANGED,,,,NOT_APPLICABLE
attributions.md,4305,06b4b45a2b269e1ed5baabefcb519ecd9a355670f36b054ff15b91cd86dd4241,UNCHANGED,,,,NOT_APPLICABLE
configs/config/protected_reaction_ids.json,26476,6373e8b8ea1af85f4e58819b6f7c42a2a15589106ef4f0dbefa16931c51e81cd,ADDED,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/config/protected_reaction_ids.json,6373e8b8ea1af85f4e58819b6f7c42a2a15589106ef4f0dbefa16931c51e81cd,EXACT
configs/fabric_ai/protected_reaction_ids.json,26476,6373e8b8ea1af85f4e58819b6f7c42a2a15589106ef4f0dbefa16931c51e81cd,ADDED,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/config/protected_reaction_ids.json,6373e8b8ea1af85f4e58819b6f7c42a2a15589106ef4f0dbefa16931c51e81cd,EXACT
configs/fabric_ai/v1_glucose_reference.json,280,f8605f6d68f3a23be3da8fb37d5fb1134ad4d2d62c81d720f26fea36c01556a5,ADDED,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/conditions/v1_glucose_reference.json,f8605f6d68f3a23be3da8fb37d5fb1134ad4d2d62c81d720f26fea36c01556a5,EXACT
configs/fabric_ai/v2a_historical_ethanol_stage.json,464,1e33446024972f882a0260cdd0e1efd06a9e708ad297952b7e926947919d0027,ADDED,FABRIC-AI_Production_Optimizer_v1.2_fresh_Design-mode_freeze_20260908.zip,FABRIC-AI_v1.2_fresh_Design-mode_freeze_20260908/conditions/v2a_historical_ethanol_stage.json,1e33446024972f882a0260cdd0e1efd06a9e708ad297952b7e926947919d0027,EXACT
data/processed/.gitkeep,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,UNCHANGED,,,,NOT_APPLICABLE
data/raw/.gitkeep,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,UNCHANGED,,,,NOT_APPLICABLE
data/README.md,972,f3d778085b211ba1aeb51c1d34d5f6b88d1181d7fbe2b26b03c88bba6e450e2f,UNCHANGED,,,,NOT_APPLICABLE
Dockerfile,1038,e08389fc3d0e5dd94eb06ccf39181aadb9c8b877b9afb81d4ef4774a3c70e3e5,UNCHANGED,,,,NOT_APPLICABLE
docs/.gitkeep,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,UNCHANGED,,,,NOT_APPLICABLE
docs/README.md,321,ef47e3c25733874f3de279ab22f70af81d2234de7acd4ed3e38a99c4a2ea7d9d,UNCHANGED,,,,NOT_APPLICABLE
docs/中期进展汇报/.keep,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,UNCHANGED,,,,NOT_APPLICABLE
LICENSE,1094,f2a305542da0b843bb30837c8b450109526bfdb2c95d32c974fcf4fda1ce137d,UNCHANGED,,,,NOT_APPLICABLE
